uid,用户名,性别,等级,粉丝牌,大会员,认证,关注数,粉丝数,获赞数,播放数,阅读数,总投稿数,最多投稿分区,十万粉丝
21334917,吃瓜少爷,保密,6,,年度大会员,bilibili 知名UP主,95,115106,12798937,247198,0,45,游戏,十万粉以上
22009424,conandiy,男,6,,十年大会员,bilibili 知名UP主,14,230419,755166,49187224,87477,1118,知识,十万粉以上
22199397,游星nice,保密,6,白龙酥,年度大会员,,430,32016,131101,2014889,1444,45,游戏,以下
22492980,Xbox盒子君,女,6,,年度大会员,Xbox官方账号,61,90297,337012,5683831,37097,929,游戏,以下
23052222,yuuheisatellite,保密,6,,无,,44,52687,197941,2328912,2206,74,音乐,以下
23482046,polly24,女,6,,年度大会员,,15,10660,33114,2652952,42195,101,游戏,以下
24622055,虚拟宫宫Official,保密,6,,无,bilibili 知名UP主,3,90923,2000926,81600,0,23,生活,以下
25150941,极速拍档,保密,6,七千二,年度大会员,bilibili 2020百大UP主、知名汽车UP主,98,1514558,8123625,180269627,152346,496,汽车,十万粉以上
25876945,极客湾Geekerwan,男,6,,年度大会员,bilibili 2019百大UP主、知名UP主,154,2155230,7287942,122059685,9995015,261,科技,十万粉以上
26353315,ramoku,保密,6,,无,,26,1278,6610,176880,7663,134,动画,以下
26366366,哔哩哔哩活动,保密,6,粉丝团,十年大会员,哔哩哔哩活动相关官方账号,65,2209437,4439267,11637014,7933243,35,动画,十万粉以上
26417558,铁蛋儿Tyler,保密,6,,年度大会员,铁蛋儿Tyler官方账号，Vlog UP主,58,382565,38508080,2202043,0,194,美食,十万粉以上
26721635,假装冷酷的起灵,男,6,起灵wx,年度大会员,bilibili 知名动漫UP主,141,509935,1354224,40787201,0,139,动画,十万粉以上
27293974,初音未來,男,6,初音饭,无,bilibili 知名UP主,1540,117274,545649,4836478,0,241,生活,十万粉以上
27518251,飞车小橘子,保密,6,,无,,44,21168,1294697,37438,5966,35,游戏,以下
28672192,阁下为何放毒,保密,6,,年度大会员,,300,4520,496825,17319,0,11,游戏,以下
29440965,超级小桀的日常,保密,6,,年度大会员,bilibili 知名游戏UP主,6,759757,16600843,383443401,0,1893,游戏,十万粉以上
29596874,露璐璐,女,6,大母鹅,年度大会员,,258,1283,1062,123237,0,12,动画,以下
30973654,网易阴阳师手游,保密,6,,年度大会员,网易阴阳师手游官方,15,1549077,119114040,8160589,661860,384,游戏,十万粉以上
30987498,性感大錘在線沖鋒,男,6,黑猫,年度大会员,,343,10265,76225,953134,5342,34,动画,以下
31317380,CV卢晓彤,保密,5,硬如铁,年度大会员,,111,27172,1204069,52808,0,29,生活,以下
31358700,6想想6,男,5,绘星,年度大会员,,291,10,30,225,0,2,游戏,以下
31700507,游研社,女,6,,无,游研社官方账号,25,576529,2107834,38144293,20185726,494,游戏,十万粉以上
32708726,kirakira时尚酱,保密,6,,无,时尚区官方账号,188,114637,3095605,359264,12145920,31,时尚,十万粉以上
33984069,GalladeC,男,6,爱舍,年度大会员,bilibili 知名游戏UP主,260,120191,1287157,5189259,82101,76,游戏,十万粉以上
34722740,Darkbblue,男,6,巨剑,年度大会员,,124,49662,197641,6316716,64783,399,游戏,以下
34932803,Steam超级蒸汽,男,6,粉丝团,无,bilibili 知名游戏UP主,110,396149,22270715,1105439,2355301,809,游戏,十万粉以上
35001680,XYZ视频工作室,男,6,,年度大会员,,27,11896,68444,1957875,7396,90,游戏,以下
35359510,远古时代装机猿,男,6,,年度大会员,bilibili 2020百大UP主、知名UP主,120,2898664,11911181,272255337,194824,699,科技,十万粉以上
35723238,只剩一瓶辣椒酱,保密,6,辣椒梗,年度大会员,,663,98129,204522,4126760,54738,342,知识,以下
35764498,OKI_興,保密,5,,年度大会员,,92,4520,7196,116856,0,24,生活,以下
35789774,轩子老师,女,6,,年度大会员,bilibili 知名UP主,16,1332631,142495602,1366169,0,2,舞蹈,十万粉以上
36279285,生活大次元,保密,4,,年度大会员,,145,1432,861,256117,0,110,游戏,以下
36831195,我乃人扎,保密,5,,无,,7,2958,603,39015,0,3,游戏,以下
37390043,动力评测,男,6,,年度大会员,bilibili 知名科技UP主,291,710046,34810847,1969918,35094,198,科技,十万粉以上
38053181,oooooohmygosh,男,6,文科人,年度大会员,bilibili 知名UP主,259,1157723,2583992,26303144,89317,28,知识,十万粉以上
39113412,不会画画的B叔,保密,5,小鹿包,年度大会员,,433,27231,105594,28311,167,3,动画,以下
39665558,偶尔有点小迷糊,保密,6,,年度大会员,bilibili 知名科技UP主,8,221349,1065603,13724585,9668,48,知识,十万粉以上
39865998,EdmundDZhang录制组,保密,6,鹅子,无,bilibili 知名游戏UP主,8,361211,1370894,73059701,153963,1882,游戏,十万粉以上
40489639,球球特别大,男,6,,年度大会员,bilibili 知名鬼畜UP主,210,475049,6816387,103317712,6508,260,鬼畜,十万粉以上
43222001,卡特亚,保密,6,,年度大会员,bilibili 2020百大UP主、知名游戏UP主,381,2203728,13239946,214202405,71082,964,游戏,十万粉以上
